TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,SEASON
Toronto Raptors,105.4,107.2,-1.8,0.539,2004-05
Utah Jazz,102.9,107.3,-4.4,0.522,2004-05
Washington Wizards,105.4,105.9,-0.4,0.523,2004-05
Atlanta Hawks,104.8,110.1,-5.3,0.534,2005-06
Boston Celtics,104.0,105.6,-1.5,0.551,2005-06
Charlotte Bobcats,101.2,105.6,-4.4,0.509,2005-06
Chicago Bulls,103.3,102.7,0.7,0.527,2005-06
Cleveland Cavaliers,106.6,104.4,2.1,0.538,2005-06
Dallas Mavericks,109.9,103.2,6.7,0.55,2005-06
Denver Nuggets,104.4,104.1,0.3,0.535,2005-06
Detroit Pistons,109.3,101.7,7.6,0.535,2005-06
Golden State Warriors,103.5,104.9,-1.4,0.521,2005-06
Houston Rockets,100.4,102.1,-1.7,0.519,2005-06
Indiana Pacers,103.1,101.0,2.0,0.533,2005-06
Los Angeles Clippers,103.8,102.2,1.6,0.54,2005-06
Los Angeles Lakers,106.8,104.2,2.6,0.539,2005-06
Memphis Grizzlies,104.5,100.4,4.1,0.537,2005-06
Miami Heat,107.5,103.4,4.1,0.556,2005-06
Milwaukee Bucks,104.9,105.9,-1.0,0.535,2005-06
Minnesota Timberwolves,101.5,103.5,-2.0,0.524,2005-06
New Jersey Nets,102.4,100.9,1.5,0.528,2005-06
New Orleans/Oklahoma City Hornets,102.3,105.1,-2.8,0.515,2005-06
New York Knicks,102.7,109.3,-6.6,0.534,2005-06
Orlando Magic,105.3,106.6,-1.3,0.543,2005-06
Philadelphia 76ers,104.7,106.5,-1.8,0.538,2005-06
Phoenix Suns,110.2,104.7,5.4,0.568,2005-06
Portland Trail Blazers,99.7,110.3,-10.7,0.511,2005-06
Sacramento Kings,105.3,103.5,1.8,0.544,2005-06
San Antonio Spurs,106.2,98.7,7.5,0.546,2005-06
Seattle SuperSonics,109.4,112.7,-3.3,0.551,2005-06
Toronto Raptors,107.9,111.2,-3.2,0.548,2005-06
Utah Jazz,102.4,105.1,-2.7,0.519,2005-06
Washington Wizards,107.7,105.8,1.9,0.538,2005-06
Atlanta Hawks,102.0,107.0,-5.1,0.523,2006-07
Boston Celtics,102.3,105.8,-3.5,0.53,2006-07
Charlotte Bobcats,102.4,106.3,-3.9,0.524,2006-07
Chicago Bulls,104.0,98.8,5.2,0.534,2006-07
Cleveland Cavaliers,104.4,100.6,3.8,0.522,2006-07
Dallas Mavericks,109.7,102.1,7.6,0.559,2006-07
Denver Nuggets,106.7,105.1,1.7,0.548,2006-07
Detroit Pistons,107.4,102.6,4.8,0.535,2006-07
Golden State Warriors,106.2,106.5,-0.3,0.548,2006-07
Houston Rockets,104.7,99.7,4.9,0.54,2006-07
Indiana Pacers,101.9,104.4,-2.5,0.523,2006-07
Los Angeles Clippers,103.8,104.2,-0.4,0.537,2006-07
Los Angeles Lakers,107.3,107.5,-0.2,0.554,2006-07
Memphis Grizzlies,105.7,110.9,-5.2,0.555,2006-07
Miami Heat,103.4,104.6,-1.2,0.541,2006-07
Milwaukee Bucks,106.0,110.3,-4.3,0.541,2006-07
Minnesota Timberwolves,102.4,106.5,-4.0,0.537,2006-07
New Jersey Nets,104.2,105.1,-0.9,0.546,2006-07
New Orleans/Oklahoma City Hornets,103.7,105.4,-1.6,0.52,2006-07
New York Knicks,104.3,107.4,-3.1,0.539,2006-07
Orlando Magic,104.1,103.3,0.8,0.544,2006-07
Philadelphia 76ers,102.4,105.6,-3.2,0.53,2006-07
Phoenix Suns,112.9,105.5,7.4,0.59,2006-07
Portland Trail Blazers,103.8,108.6,-4.8,0.53,2006-07
Sacramento Kings,105.1,106.7,-1.6,0.545,2006-07
San Antonio Spurs,108.6,99.4,9.2,0.561,2006-07
Seattle SuperSonics,105.9,108.9,-3.0,0.544,2006-07
Toronto Raptors,105.7,104.4,1.2,0.55,2006-07
Utah Jazz,108.6,105.6,3.0,0.551,2006-07
Washington Wizards,108.7,109.1,-0.4,0.542,2006-07
Atlanta Hawks,105.5,107.3,-1.8,0.535,2007-08
Boston Celtics,108.8,98.1,10.8,0.569,2007-08
Charlotte Bobcats,103.7,108.2,-4.5,0.532,2007-08
Chicago Bulls,102.9,106.0,-3.1,0.515,2007-08
Cleveland Cavaliers,104.8,105.4,-0.6,0.52,2007-08
Dallas Mavericks,109.5,104.7,4.8,0.554,2007-08
Denver Nuggets,108.9,105.5,3.4,0.557,2007-08
Detroit Pistons,109.8,101.5,8.3,0.539,2007-08
Golden State Warriors,110.4,108.5,1.9,0.548,2007-08
Houston Rockets,105.4,100.5,4.8,0.528,2007-08
Indiana Pacers,105.1,106.3,-1.2,0.54,2007-08
Los Angeles Clippers,99.9,107.4,-7.5,0.519,2007-08
