TEAM_NAME,PACE,SEASON
Los Angeles Clippers,93.35,2010-11
Los Angeles Lakers,91.78,2010-11
Memphis Grizzlies,92.42,2010-11
Miami Heat,91.63,2010-11
Milwaukee Bucks,90.57,2010-11
Minnesota Timberwolves,97.49,2010-11
New Jersey Nets,90.7,2010-11
New Orleans Hornets,89.4,2010-11
New York Knicks,96.47,2010-11
Oklahoma City Thunder,93.84,2010-11
Orlando Magic,91.55,2010-11
Philadelphia 76ers,92.78,2010-11
Phoenix Suns,95.18,2010-11
Portland Trail Blazers,89.13,2010-11
Sacramento Kings,95.76,2010-11
San Antonio Spurs,93.34,2010-11
Toronto Raptors,93.78,2010-11
Utah Jazz,92.03,2010-11
Washington Wizards,94.76,2010-11
Atlanta Hawks,90.88,2011-12
Boston Celtics,91.11,2011-12
Charlotte Bobcats,91.86,2011-12
Chicago Bulls,89.98,2011-12
Cleveland Cavaliers,92.34,2011-12
Dallas Mavericks,92.61,2011-12
Denver Nuggets,95.03,2011-12
Detroit Pistons,90.31,2011-12
Golden State Warriors,93.78,2011-12
Houston Rockets,92.82,2011-12
Indiana Pacers,91.68,2011-12
Los Angeles Clippers,89.98,2011-12
Los Angeles Lakers,91.72,2011-12
Memphis Grizzlies,91.82,2011-12
Miami Heat,92.07,2011-12
Milwaukee Bucks,94.68,2011-12
Minnesota Timberwolves,94.44,2011-12
New Jersey Nets,91.26,2011-12
New Orleans Hornets,89.27,2011-12
New York Knicks,93.91,2011-12
Oklahoma City Thunder,94.11,2011-12
Orlando Magic,89.75,2011-12
Philadelphia 76ers,90.68,2011-12
Phoenix Suns,93.61,2011-12
Portland Trail Blazers,92.24,2011-12
Sacramento Kings,95.56,2011-12
San Antonio Spurs,93.67,2011-12
Toronto Raptors,90.19,2011-12
Utah Jazz,92.53,2011-12
Washington Wizards,93.59,2011-12
Atlanta Hawks,93.56,2012-13
Boston Celtics,92.46,2012-13
Brooklyn Nets,89.88,2012-13
Charlotte Bobcats,92.49,2012-13
Chicago Bulls,90.35,2012-13
Cleveland Cavaliers,93.25,2012-13
Dallas Mavericks,95.09,2012-13
Denver Nuggets,95.92,2012-13
Detroit Pistons,91.68,2012-13
Golden State Warriors,95.64,2012-13
Houston Rockets,96.89,2012-13
Indiana Pacers,90.9,2012-13
Los Angeles Clippers,91.83,2012-13
Los Angeles Lakers,95.08,2012-13
Memphis Grizzlies,89.56,2012-13
Miami Heat,91.26,2012-13
Milwaukee Bucks,95.65,2012-13
Minnesota Timberwolves,93.94,2012-13
New Orleans Hornets,89.5,2012-13
New York Knicks,90.68,2012-13
Oklahoma City Thunder,94.58,2012-13
Orlando Magic,92.81,2012-13
Philadelphia 76ers,91.88,2012-13
Phoenix Suns,94.48,2012-13
Portland Trail Blazers,92.46,2012-13
Sacramento Kings,94.65,2012-13
San Antonio Spurs,95.31,2012-13
Toronto Raptors,91.26,2012-13
Utah Jazz,92.05,2012-13
Washington Wizards,93.23,2012-13
Atlanta Hawks,95.41,2013-14
Boston Celtics,94.28,2013-14
Brooklyn Nets,92.42,2013-14
Charlotte Bobcats,92.93,2013-14
Chicago Bulls,90.84,2013-14
Cleveland Cavaliers,93.69,2013-14
Dallas Mavericks,94.94,2013-14
Denver Nuggets,98.95,2013-14
Detroit Pistons,95.57,2013-14
Golden State Warriors,97.37,2013-14
Houston Rockets,97.27,2013-14
Indiana Pacers,92.89,2013-14
Los Angeles Clippers,96.66,2013-14
Los Angeles Lakers,99.72,2013-14
Memphis Grizzlies,90.58,2013-14
Miami Heat,91.9,2013-14
Milwaukee Bucks,92.96,2013-14
Minnesota Timberwolves,98.33,2013-14
New Orleans Pelicans,93.07,2013-14
New York Knicks,91.24,2013-14
Oklahoma City Thunder,96.33,2013-14
Orlando Magic,94.27,2013-14
Philadelphia 76ers,99.74,2013-14
Phoenix Suns,96.83,2013-14
Portland Trail Blazers,95.9,2013-14
Sacramento Kings,95.04,2013-14
San Antonio Spurs,95.87,2013-14
Toronto Raptors,92.48,2013-14
Utah Jazz,92.32,2013-14
Washington Wizards,94.18,2013-14
Atlanta Hawks,94.66,2014-15
Boston Celtics,96.71,2014-15
Brooklyn Nets,93.69,2014-15
Charlotte Hornets,93.45,2014-15
Chicago Bulls,93.8,2014-15
Cleveland Cavaliers,93.23,2014-15
Dallas Mavericks,96.4,2014-15
Denver Nuggets,96.87,2014-15
Detroit Pistons,93.68,2014-15
Golden State Warriors,99.28,2014-15
Houston Rockets,97.36,2014-15
Indiana Pacers,93.67,2014-15
Los Angeles Clippers,95.4,2014-15
Los Angeles Lakers,95.03,2014-15
Memphis Grizzlies,92.82,2014-15
Miami Heat,91.49,2014-15
Milwaukee Bucks,94.82,2014-15
Minnesota Timberwolves,95.45,2014-15
New Orleans Pelicans,92.29,2014-15
New York Knicks,92.06,2014-15
Oklahoma City Thunder,96.61,2014-15
Orlando Magic,94.51,2014-15
Philadelphia 76ers,96.45,2014-15
Phoenix Suns,97.2,2014-15
Portland Trail Blazers,95.06,2014-15
Sacramento Kings,96.16,2014-15
San Antonio Spurs,94.45,2014-15
Toronto Raptors,93.46,2014-15
Utah Jazz,91.1,2014-15
Washington Wizards,94.29,2014-15
Atlanta Hawks,97.63,2015-16
Boston Celtics,99.43,2015-16
Brooklyn Nets,96.12,2015-16
Charlotte Hornets,96.24,2015-16
Chicago Bulls,96.6,2015-16
Cleveland Cavaliers,93.82,2015-16
Dallas Mavericks,95.34,2015-16
Denver Nuggets,96.34,2015-16
Detroit Pistons,95.75,2015-16
Golden State Warriors,100.24,2015-16
Houston Rockets,98.42,2015-16
Indiana Pacers,97.35,2015-16
LA Clippers,96.81,2015-16
Los Angeles Lakers,96.55,2015-16
Memphis Grizzlies,93.95,2015-16
Miami Heat,94.14,2015-16
Milwaukee Bucks,95.05,2015-16
Minnesota Timberwolves,96.2,2015-16
New Orleans Pelicans,97.64,2015-16
New York Knicks,94.12,2015-16
Oklahoma City Thunder,97.54,2015-16
Orlando Magic,96.68,2015-16
Philadelphia 76ers,98.44,2015-16
Phoenix Suns,99.39,2015-16
Portland Trail Blazers,97.06,2015-16
Sacramento Kings,100.66,2015-16
San Antonio Spurs,94.54,2015-16
Toronto Raptors,93.35,2015-16
Utah Jazz,91.66,2015-16
Washington Wizards,99.16,2015-16
Atlanta Hawks,97.76,2016-17
Boston Celtics,97.21,2016-17
Brooklyn Nets,101.75,2016-17
Charlotte Hornets,95.92,2016-17
Chicago Bulls,96.02,2016-17
Cleveland Cavaliers,96.74,2016-17
Dallas Mavericks,93.11,2016-17
Denver Nuggets,99.18,2016-17
Detroit Pistons,95.52,2016-17
Golden State Warriors,100.37,2016-17
Houston Rockets,100.55,2016-17
Indiana Pacers,96.59,2016-17
LA Clippers,96.77,2016-17
Los Angeles Lakers,99.26,2016-17
Memphis Grizzlies,92.84,2016-17
Miami Heat,95.51,2016-17
Milwaukee Bucks,94.99,2016-17
Minnesota Timberwolves,95.48,2016-17
New Orleans Pelicans,98.56,2016-17
New York Knicks,96.63,2016-17
Oklahoma City Thunder,98.18,2016-17
Orlando Magic,96.9,2016-17
Philadelphia 76ers,99.07,2016-17
Phoenix Suns,100.85,2016-17
Portland Trail Blazers,97.38,2016-17
Sacramento Kings,95.42,2016-17
San Antonio Spurs,94.86,2016-17
Toronto Raptors,95.41,2016-17
Utah Jazz,92.09,2016-17
Washington Wizards,97.94,2016-17
Atlanta Hawks,98.76,2017-18
Boston Celtics,96.75,2017-18
Brooklyn Nets,99.66,2017-18
Charlotte Hornets,98.66,2017-18
Chicago Bulls,98.65,2017-18
Cleveland Cavaliers,98.72,2017-18
Dallas Mavericks,96.53,2017-18
Denver Nuggets,97.69,2017-18
Detroit Pistons,96.75,2017-18
Golden State Warriors,100.35,2017-18
Houston Rockets,98.02,2017-18
Indiana Pacers,96.84,2017-18
LA Clippers,99.54,2017-18
Los Angeles Lakers,100.9,2017-18
Memphis Grizzlies,95.65,2017-18
Miami Heat,96.1,2017-18
Milwaukee Bucks,97.03,2017-18
Minnesota Timberwolves,96.75,2017-18
New Orleans Pelicans,101.48,2017-18
New York Knicks,97.64,2017-18
Oklahoma City Thunder,97.34,2017-18
Orlando Magic,98.58,2017-18
Philadelphia 76ers,100.75,2017-18
Phoenix Suns,101.14,2017-18
Portland Trail Blazers,97.11,2017-18
Sacramento Kings,95.5,2017-18
San Antonio Spurs,95.7,2017-18
Toronto Raptors,98.02,2017-18
Utah Jazz,96.58,2017-18
Washington Wizards,97.67,2017-18
Atlanta Hawks,104.56,2018-19
Boston Celtics,100.43,2018-19
Brooklyn Nets,101.52,2018-19
Charlotte Hornets,99.18,2018-19
Chicago Bulls,99.3,2018-19
Cleveland Cavaliers,97.37,2018-19
Dallas Mavericks,99.6,2018-19
Denver Nuggets,98.49,2018-19
Detroit Pistons,97.88,2018-19
Golden State Warriors,101.74,2018-19
Houston Rockets,98.39,2018-19
Indiana Pacers,98.64,2018-19
LA Clippers,102.66,2018-19
Los Angeles Lakers,103.6,2018-19
Memphis Grizzlies,97.15,2018-19
Miami Heat,98.73,2018-19
Milwaukee Bucks,103.57,2018-19
Minnesota Timberwolves,100.88,2018-19
New Orleans Pelicans,103.89,2018-19
New York Knicks,100.16,2018-19
Oklahoma City Thunder,103.38,2018-19
Orlando Magic,98.65,2018-19
Philadelphia 76ers,102.59,2018-19
Phoenix Suns,101.15,2018-19
Portland Trail Blazers,99.96,2018-19
Sacramento Kings,103.88,2018-19
San Antonio Spurs,98.88,2018-19
Toronto Raptors,100.51,2018-19
Utah Jazz,100.84,2018-19
Washington Wizards,102.23,2018-19
Atlanta Hawks,103.28,2019-20
