TEAM_NAME,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%,SEASON
Denver Nuggets,2993,6763,331,985,44.255507910690525,33.60406091370559,2662,5778,46.07130494980962,2003-04
Detroit Pistons,2747,6314,333,968,43.506493506493506,34.40082644628099,2414,5346,45.155256266367374,2003-04
Golden State Warriors,2875,6511,429,1283,44.15604361849178,33.43725643024162,2446,5228,46.78653404743688,2003-04
Houston Rockets,2738,6195,515,1406,44.19693301049234,36.62873399715505,2223,4789,46.418876592190436,2003-04
Indiana Pacers,2753,6322,449,1281,43.546346093008545,35.050741608118656,2304,5041,45.70521721880579,2003-04
Los Angeles Clippers,2817,6579,329,1024,42.818057455540355,32.12890625,2488,5555,44.78847884788479,2003-04
Los Angeles Lakers,3028,6676,365,1115,45.356500898741764,32.73542600896861,2663,5561,47.88707067074267,2003-04
Memphis Grizzlies,2963,6657,447,1314,44.50953883130539,34.01826484018265,2516,5343,47.08965000935804,2003-04
Miami Heat,2729,6417,485,1357,42.52766090073243,35.74060427413412,2244,5060,44.34782608695652,2003-04
Milwaukee Bucks,2970,6650,401,1145,44.661654135338345,35.02183406113537,2569,5505,46.666666666666664,2003-04
Minnesota Timberwolves,3033,6571,326,897,46.157358088570994,36.34336677814939,2707,5674,47.70884737398661,2003-04
New Jersey Nets,2813,6372,377,1123,44.146264908976775,33.57079252003562,2436,5249,46.408839779005525,2003-04
New Orleans Hornets,2772,6605,531,1666,41.96820590461771,31.872749099639858,2241,4939,45.37355740028346,2003-04
New York Knicks,2881,6513,406,1115,44.2346077076616,36.412556053811656,2475,5398,45.85031493145609,2003-04
Orlando Magic,2904,6768,429,1248,42.90780141843972,34.375,2475,5520,44.83695652173913,2003-04
Philadelphia 76ers,2682,6260,339,992,42.843450479233226,34.17338709677419,2343,5268,44.47608200455581,2003-04
Phoenix Suns,2958,6671,415,1202,44.341178234147804,34.52579034941764,2543,5469,46.49844578533553,2003-04
Portland Trail Blazers,2898,6467,381,1102,44.812123086438845,34.57350272232305,2517,5365,46.915191053122086,2003-04
Sacramento Kings,3103,6711,601,1498,46.23752048874981,40.120160213618156,2502,5213,47.995396125071935,2003-04
San Antonio Spurs,2842,6434,408,1140,44.171588436431456,35.78947368421053,2434,5294,45.97657725727238,2003-04
Seattle SuperSonics,2939,6590,723,1936,44.59787556904401,37.345041322314046,2216,4654,47.61495487752471,2003-04
